"Time (ms)","Recording (a.u.)"
0.000000000E0,1.543819621E-6
2.083412250E-2,-1.203262627E-6
4.166824501E-2,-3.122694761E-5
6.250236751E-2,-2.094708725E-5
8.333649002E-2,-1.392480590E-5
1.041706125E-1,-1.437985429E-5
1.250047350E-1,-1.604642966E-5
1.458388575E-1,-1.302768305E-5
1.666729800E-1,-3.292464680E-5
1.875071025E-1,-6.871028745E-5
2.083412250E-1,-8.643774345E-5
2.291753476E-1,-1.179157698E-4
2.500094701E-1,-1.301275770E-4
2.708435926E-1,-1.430885895E-4
2.916777151E-1,-1.680303685E-4
3.125118376E-1,-1.707804768E-4
3.333459601E-1,-1.674140367E-4
3.541800826E-1,-1.448939875E-4
3.750142051E-1,-1.492330630E-4
3.958483276E-1,-1.813874696E-4
4.166824501E-1,-1.960735535E-4
4.375165726E-1,-2.110261266E-4
4.583506951E-1,-2.080150152E-4
4.791848176E-1,-2.212572290E-4
5.000189401E-1,-2.428039006E-4
5.208530626E-1,-2.326384420E-4
5.416871851E-1,-2.500968403E-4
5.625213076E-1,-2.741727803E-4
5.833554301E-1,-2.793295425E-4
6.041895526E-1,-2.950833878E-4
6.250236751E-1,-3.239235375E-4
6.458577976E-1,-3.416529798E-4
6.666919201E-1,-3.223277163E-4
6.875260427E-1,-3.369733458E-4
7.083601652E-1,-3.807141911E-4
7.291942877E-1,-3.835463431E-4
7.500284102E-1,-3.924703342E-4
7.708625327E-1,-4.018229665E-4
7.916966552E-1,-3.734596248E-4
8.125307777E-1,-3.517788718E-4
8.333649002E-1,-3.573114809E-4
8.541990227E-1,-3.645141260E-4
8.750331452E-1,-3.759186366E-4
8.958672677E-1,-3.731980396E-4
9.167013902E-1,-3.670909791E-4
9.375355127E-1,-3.499614540E-4
9.583696352E-1,-3.123382048E-4
9.792037577E-1,-3.348759201E-4
1.000037880E0,-3.409894707E-4
1.020872003E0,-3.248375724E-4
1.041706125E0,-3.103963099E-4
1.062540248E0,-3.042818862E-4
1.083374370E0,-3.295475908E-4
1.104208493E0,-3.074891865E-4
1.125042615E0,-3.253392933E-4
1.145876738E0,-3.104845819E-4
1.166710860E0,-2.815547341E-4
1.187544983E0,-3.038065624E-4
1.208379105E0,-2.849317971E-4
1.229213228E0,-3.086357319E-4
1.250047350E0,-3.067255602E-4
1.270881473E0,-3.046742349E-4
1.291715595E0,-3.100227041E-4
1.312549718E0,-2.877568477E-4
1.333383840E0,-2.971184731E-4
1.354217963E0,-2.751950815E-4
1.375052085E0,-2.742556389E-4
1.395886208E0,-2.833772742E-4
1.416720330E0,-2.794087923E-4
1.437554453E0,-2.738063922E-4
1.458388575E0,-2.726631064E-4
1.479222698E0,-2.668815141E-4
1.500056820E0,-2.337377082E-4
1.520890943E0,-2.207555663E-4
1.541725065E0,-1.986788702E-4
1.562559188E0,-1.972005994E-4
1.583393310E0,-1.991650643E-4
1.604227433E0,-2.093467192E-4
1.625061555E0,-2.345285757E-4
1.645895678E0,-2.196842834E-4
1.666729800E0,-2.340359351E-4
1.687563923E0,-2.419134689E-4
1.708398045E0,-2.461273689E-4
1.729232168E0,-2.758463379E-4
1.750066290E0,-2.754531452E-4
1.770900413E0,-2.667475492E-4
1.791734535E0,-2.698186436E-4
1.812568658E0,-2.607829811E-4
1.833402780E0,-2.516167006E-4
1.854236903E0,-2.794890606E-4
1.875071025E0,-3.085645731E-4
1.895905148E0,-3.148571413E-4
1.916739270E0,-3.110591497E-4
1.937573393E0,-3.252225579E-4
1.958407515E0,-3.161072382E-4
1.979241638E0,-3.226120607E-4
2.000075760E0,-3.591008135E-4
2.020909883E0,-3.432975209E-4
2.041744005E0,-3.593578003E-4
